cps,MES,toi,tic,ra,dec,Vmag,Rs,smass,Rp,ruwe,evol,period
WASP156,34.8,465.01,270380593,32.7818,2.418,11.559000000000001,0.85,0.81,5.64,1.1,MS,3.836317
63935,19.8,509.01,453211454,117.925,9.3861,8.58,0.96,0.98,3.07,1.07,MS,18.119809
T001136,27.7,1136.01,142276270,192.1849,64.8553,9.533999999999999,0.98,1.03,4.72,1.05,MS,12.51781
HTR155-001,114.4,1144.01,28230919,297.7094,48.0809,9.46,0.76,0.77,4.87,0.98,MS,4.887823
T001173,126.1,1173.01,232967440,197.6823,70.7684,11.038,0.96,0.92,9.22,0.87,MS,7.06423
T001174,16.2,1174.01,154089169,209.2181,68.618,10.964,0.76,0.85,2.31,1.01,MS,8.95311
T001180,28.8,1180.01,158002130,214.5531,82.194,11.017000000000001,0.73,0.75,2.85,1.1,MS,9.692137
T001184,27.4,1184.01,233087860,272.2039,60.6782,10.988,0.69,0.71,2.4,1.08,MS,5.748419999999999
T001194,130.0,1194.01,147950620,167.8205,69.9647,11.302,0.99,0.92,8.86,1.09,MS,2.310602
T001235,15.6,1235.01,103633434,152.2159,69.2765,11.495,0.63,0.61,1.73,1.05,MS,3.444703
T001244,19.3,1244.01,219850915,256.2803,69.5194,11.929,0.72,0.73,2.39,0.87,MS,6.398386
T001246,20.0,1246.01,230127302,251.1165,70.4296,11.632,0.88,0.87,3.33,0.93,MS,18.652357
135694,25.5,1247.01,232540264,227.8705,71.84100000000001,9.08,1.08,1.02,2.8,1.08,MS,15.923849
T001248,105.1,1248.01,232612416,259.0236,63.106,11.806,0.87,0.89,6.62,0.97,MS,4.360136
T001249,14.9,1249.01,232976128,200.5617,66.3087,11.089,1.0,0.95,3.15,0.96,MS,13.0783
HIP97166,26.0,1255.01,237222864,296.2443,74.0627,9.92,0.87,0.86,2.7,1.1,MS,10.288882
T001258,21.4,1258.01,288132261,209.485,79.5832,9.634,1.49,1.16,4.19,1.05,MS,10.26086
T001269,18.9,1269.01,198241702,249.6971,64.5587,11.618,0.85,0.97,2.38,0.79,MS,4.252932
T001272,27.2,1272.01,417948359,199.1966,49.861,11.758,0.81,0.82,4.29,0.92,MS,3.3159970000000003
T001279,13.1,1279.01,224297258,185.0639,56.2011,10.714,0.84,0.96,2.58,0.89,MS,9.61548
T001288,57.2,1288.01,365733349,313.1666,65.6091,10.445,0.92,1.18,4.73,1.06,MS,2.700062
T001301,20.7,1301.01,356867115,275.8631,71.5814,11.337,0.73,0.77,2.56,0.98,MS,6.09617
191939,58.3,1339.01,269701147,302.024,66.8506,8.97,0.92,0.95,3.2,1.12,MS,8.880405999999999
T001347,14.7,1347.01,229747848,280.3268,70.2899,11.168,0.85,0.94,2.06,0.74,MS,0.847366
T001410,18.1,1410.01,199444169,334.8832,42.5603,11.110999999999999,0.78,0.71,2.94,1.0,MS,1.216835
GJ9522A,13.0,1411.01,116483514,232.9451,47.0568,10.51,0.69,0.65,1.37,1.0,MS,1.452049
HIP71409,22.7,1415.01,148782377,219.0374,42.3783,8.86,1.41,1.28,4.78,0.98,MS,14.419358
HIP70705,14.6,1416.01,158025009,216.924,41.9534,9.91,0.8,0.81,1.77,1.12,MS,1.069606
T001422,18.9,1422.01,333473672,354.2412,39.6394,10.622,1.01,1.08,3.09,1.03,MS,12.99844
235088,18.0,1430.01,293954617,300.6143,53.3768,9.19,0.78,0.85,2.23,0.96,MS,7.434007000000001
102121,14.7,1434.01,138588540,176.3806,65.541,8.78,0.74,0.94,2.03,0.96,MS,29.889399
154840,17.4,1437.01,198356533,256.1387,56.8426,9.173,1.22,1.14,2.35,1.06,MS,18.840143
T001438,15.4,1438.01,229650439,280.9243,74.9376,10.957,0.82,0.9,2.81,0.84,MS,5.14002
T001443,18.2,1443.01,237232044,297.4003,76.1391,10.675,0.75,0.89,2.07,1.14,MS,23.540657
T001444,13.2,1444.01,258514800,305.4743,70.9438,10.936,0.92,0.96,1.29,0.94,MS,0.470212
T001451,16.2,1451.01,417931607,186.5243,61.25899999999999,9.584,1.03,1.04,2.46,1.08,MS,16.53818
219134,15.8,1469.01,283722336,348.3207,57.1684,5.569,0.75,0.8,1.21,1.09,MS,3.093132
12572,17.0,1471.01,306263608,30.9043,21.2809,9.2,0.97,1.0,4.28,1.15,MS,20.772024
T001472,12.0,1472.01,306955329,14.1136,48.6376,11.302,0.86,0.86,4.31,1.01,MS,6.364103
207897,29.3,1611.01,264678534,325.1866,84.3335,8.37,0.78,0.85,2.72,0.98,MS,16.190579999999997
238876,12.6,1664.01,353782445,276.938,55.7557,9.652999999999999,1.34,1.17,2.52,1.04,MS,11.834577
T001669,13.1,1669.01,428679607,45.9529,83.5876,10.218,1.07,0.98,2.25,0.91,MS,2.679485
T001691,23.0,1691.01,268334473,272.4061,86.8596,10.134,1.0,1.03,3.75,1.23,MS,16.731638
T001694,43.6,1694.01,396740648,97.7482,66.3607,11.446,0.82,0.84,5.48,1.12,MS,3.77013
T001710,55.3,1710.01,445805961,94.2828,76.2108,9.545,0.98,1.01,5.41,1.01,MS,24.28313
237566,12.3,1716.01,14336130,105.0829,56.8244,9.406,1.24,1.06,2.74,1.01,MS,8.088417
T001722,13.5,1722.01,85242435,114.3453,61.1542,10.025,1.09,1.16,4.43,0.97,MS,9.606666
T001723,13.5,1723.01,71431780,116.7971,68.4766,9.664,1.09,1.03,3.16,0.92,MS,13.716057
63433,15.0,1726.01,130181866,117.4794,27.3632,6.92,0.9,1.01,2.16,1.0,MS,7.108153
156141,21.4,1742.01,219857012,257.3285,71.8764,8.863,1.16,1.02,2.2,1.0,MS,21.272109
146757,20.4,1751.01,287080092,243.4888,63.5343,9.327,1.27,1.15,2.81,0.97,MS,37.473479
T001753,13.3,1753.01,289580577,252.4698,61.1735,11.831,0.96,1.01,2.96,0.88,MS,5.384942
T001758,12.7,1758.01,367858035,354.74300000000005,75.6851,10.794,0.81,0.88,3.8,0.93,MS,20.70427
T001759,23.3,1759.01,408636441,326.8533,62.7539,11.93,0.63,0.61,3.23,0.93,MS,37.696127
T001772,12.0,1772.01,85293053,156.8379,34.391,9.955,1.0,0.99,2.46,0.92,MS,8.05147
75732,31.0,1773.01,332064670,133.1492,28.3308,5.9510000000000005,0.96,0.9,1.8,0.99,MS,0.73665
T001775,29.1,1775.01,9348006,150.1151,39.4578,11.648,0.84,0.9,8.07,1.05,MS,10.240374
T001794,14.3,1794.01,286916251,203.3977,49.0611,10.32,1.3,1.02,3.03,0.96,MS,8.7657
93963,14.6,1797.01,368435330,162.7771,25.6412,9.182,1.05,1.08,3.21,0.97,MS,3.645428
HIP65469,12.5,1807.01,180695581,201.2833,38.9225,10.0,0.74,0.73,1.53,1.05,MS,0.549343
TIC142381532,81.3,1823.01,142381532,196.2204,63.7538,10.728,0.82,0.77,8.14,1.08,MS,194.05
T001824,13.2,1824.01,142387023,197.7312,61.7448,9.721,0.82,0.88,2.4,0.99,MS,22.80811
134319,14.1,1860.01,202426247,226.4579,64.0472,8.4,0.93,1.01,1.42,1.0,MS,1.066211
HIP74981,14.2,2018.01,357501308,229.8381,29.2062,10.25,0.62,0.66,2.61,0.97,MS,7.4371149999999995
149026,152.4,2024.01,255930614,247.6234,38.3473,8.15,1.46,1.14,8.53,0.96,MS,2.87577
T002076,14.9,2076.01,27491137,217.3927,39.7904,9.139,0.77,0.87,2.89,1.0,MS,10.355753
T002088,13.9,2088.01,441765914,261.3752,75.8823,11.638,0.83,0.8,3.51,0.85,MS,124.729948
