toi,cps,MES,SNR,qlp_only?
509.01,63935,19.8,21.4,FALSE
554.01,25463,11.3,12.7,FALSE
561.01,T00561,9.1,10,FALSE
1136.01,T001136,27.7,34.7,FALSE
1144.01,HTR155-001,114.4,122.8,FALSE
1173.01,T001173,126.1,135.6,FALSE
1174.01,T001174,16.2,16.8,FALSE
1180.01,T001180,28.8,29.7,FALSE
1184.01,T001184,27.4,32.3,FALSE
1194.01,T001194,130,138.7,FALSE
1235.01,T001235,15.6,19,FALSE
1237.01,K00244,7.4,7.5,FALSE
1247.01,135694,25.5,26.7,FALSE
1249.01,T001249,14.9,15.9,FALSE
1250.01,T001250,7.3,8.5,FALSE
1255.01,HIP97166,26,29,FALSE
1258.01,T001258,21.4,25.1,FALSE
1263.01,347039,7.3,7.9,FALSE
1279.01,T001279,13.1,14.3,FALSE
1288.01,T001288,57.2,88.4,FALSE
1290.01,K00246,8.8,9.6,FALSE
1301.01,T001301,20.7,22.5,FALSE
1304.01,192279,,24.5,TRUE
1339.01,191939,58.3,66.1,FALSE
1347.01,T001347,14.7,16.1,FALSE
1386.01,T001386,,28.2,TRUE
1391.01,T001391,,11.9,TRUE
1410.01,T001410,18.1,22.8,FALSE
1411.01,GJ9522A,13,15.2,FALSE
1415.01,HIP71409,22.7,24.4,FALSE
1416.01,HIP70705,14.6,15.6,FALSE
1422.01,T001422,18.9,19.7,FALSE
1430.01,235088,18,21.5,FALSE
1434.01,102121,14.7,14.7,FALSE
1435.01,T001435,7.9,7.4,FALSE
1437.01,154840,17.4,17.8,FALSE
1438.01,T001438,15.4,17,FALSE
1441.01,T001441,11.2,12.6,FALSE
1443.01,T001443,18.2,19.6,FALSE
1444.01,T001444,13.2,15,FALSE
1451.01,T001451,16.2,17.7,FALSE
1453.01,T001453,21.6,23.8,FALSE
1456.01,332231,,22,TRUE
1462.01,158259,10.3,10.7,FALSE
1469.01,219134,15.8,18.3,FALSE
1471.01,12572,17,19.4,FALSE
1472.01,T001472,12,13.4,FALSE
1473.01,6061,8.7,10.7,FALSE
1486.01,T001486,24.7,23.3,FALSE
1504.01,T001504,,12.4,TRUE
1520.01,T001520,,13.3,TRUE
1533.01,T001533,,11.9,TRUE
1537.01,T001537,,11.4,TRUE
1538.01,T001538,,10.1,TRUE
1548.01,1300,,10.4,TRUE
1609.01,T001609,,9.2,TRUE
1611.01,207897,29.3,34.7,FALSE
1643.01,234571,10.6,15.5,FALSE
1648.01,T001648,,9.3,TRUE
1655.01,T001655,,13.9,TRUE
1659.01,T001659,,9.2,TRUE
1660.01,T001660,,14,TRUE
1664.01,238876,12.6,14.3,FALSE
1669.01,T001669,13.1,13.9,FALSE
1681.01,T001681,10.3,12.6,FALSE
1686.01,T001686,8.9,9.7,FALSE
1687.01,T001687,7.7,8.6,FALSE
1691.01,T001691,23,26.4,FALSE
1694.01,T001694,43.6,61.8,FALSE
1699.01,T001699,,10.4,TRUE
1706.01,T001706,12.2,13.5,FALSE
1708.01,T001708,,47.2,TRUE
1710.01,T001710,55.3,53,FALSE
1711.01,T001711,,66.3,TRUE
1716.01,237566,12.3,13.3,FALSE
1722.01,T001722,13.5,15.6,FALSE
1723.01,T001723,13.5,14,FALSE
1726.01,63433,15,16.2,FALSE
1727.01,T001727,7.6,7.9,FALSE
1734.01,T001734,10.9,11.2,FALSE
1735.01,T001735,11,13.1,FALSE
1739.01,T001739,9.1,10.6,FALSE
1742.01,156141,21.4,22.9,FALSE
1744.01,T001744,13.4,14.2,FALSE
1751.01,146757,20.4,21.1,FALSE
1758.01,T001758,12.7,15.3,FALSE
1761.01,T001761,8.6,9.2,FALSE
1768.01,T001768,11.5,13.2,FALSE
1772.01,T001772,12,13.2,FALSE
1773.01,75732,31,52.8,FALSE
1774.01,85426,11.9,13.1,FALSE
1776.01,95072,7.4,7.8,FALSE
1777.01,87620,8.5,8.5,FALSE
1778.01,77946,10.8,11.8,FALSE
1794.01,T001794,14.3,15.2,FALSE
1797.01,93963,14.6,16.1,FALSE
1798.01,T001798,10.5,11.6,FALSE
1799.01,96735,7.1,8.4,FALSE
1807.01,HIP65469,12.5,15.5,FALSE
1821.01,97658,,11,TRUE
1823.01,TIC142381532,81.3,79.4,FALSE
1824.01,T001824,13.2,14.2,FALSE
1835.01,110067,7.9,10.8,FALSE
1836.01,148193,33.6,43.7,FALSE
1839.01,T001839,7.7,9.3,FALSE