,tic,toi,cps,ra,dec,vmag,smass,sradius,evol,ruwe,rp,period
1661,58542531,1683.01,283636,65.9797,27.8225,10.97,0.69,0.7,MS,1.06,2.39,3.0576
1662,85031598,1684.01,T001684,65.3458,62.2458,8.25,,2.99,RGB,0.95,11.73,1.1551
1664,102672709,1686.01,T001686,61.731,66.1196,10.411,1.16,1.46,MS,1.09,3.72,6.7021
1665,103448870,1687.01,T001687,66.8347,73.0239,10.507,1.02,0.98,MS,1.07,3.66,10.2596
1669,268334473,1691.01,T001691,272.4061,86.8596,10.134,1.03,1.0,MS,,3.5,16.7367
1672,353475866,1693.01,T001693,90.3085,34.7732,12.962,0.46,0.46,MS,,1.48,1.7669
1673,396740648,1694.01,T001694,97.7482,66.3607,11.446,0.84,0.82,MS,1.12,5.48,3.7701
1674,422756130,1695.01,T001695,21.9207,72.2964,12.989,0.51,0.52,MS,1.09,1.82,3.1343
1678,22705558,1699.01,T001699,125.1888,46.2037,11.402000000000001,1.0,1.04,MS,1.22,3.47,4.5486
1685,230377505,1706.01,T001706,285.2057,60.2339,11.077,0.99,0.97,MS,0.95,1.89,4.5154
1688,241173474,1708.01,T001708,116.1073,43.0092,10.715,1.22,1.24,MS,0.97,9.64,11.4419
1690,445805961,1710.01,T001710,94.2828,76.2108,9.545,1.01,0.98,MS,1.01,5.41,24.2831
1691,461662295,1711.01,T001711,124.4469,51.0106,10.675999999999998,0.92,0.97,MS,1.08,7.45,10.2558
1693,15863518,1713.01,T001713,100.5207,39.8432,11.436,0.86,0.95,MS,1.31,4.65,0.5572
1696,14336130,1716.01,237566,105.0829,56.8244,9.406,1.06,1.24,MS,1.01,2.74,8.0884
1699,293617835,1719.01,T001719,135.2975,55.8599,8.29,1.14,4.17,SG,3.66,7.83,2.7568
1700,356473034,1720.01,XO-2N,117.027,50.2258,11.245999999999999,0.9,1.08,MS,0.95,12.38,2.6158
1701,51234631,1721.01,XO-4,110.3882,58.2681,10.814,1.24,1.62,MS,0.97,15.26,4.1249
1702,85242435,1722.01,T001722,114.3453,61.1542,10.025,1.16,1.09,MS,0.97,4.43,9.6067
1703,71431780,1723.01,T001723,116.7971,68.4766,9.664,1.03,1.09,MS,0.92,3.67,13.7263
1706,130181866,1726.01,63433,117.4794,27.3632,6.92,1.01,0.9,MS,1.0,2.16,7.1082
1708,241225337,1727.01,T001727,93.5585,53.1362,10.312000000000001,0.98,0.99,MS,0.97,2.27,1.8328
1709,285048486,1728.01,T001728,120.6106,64.7969,12.39,0.61,0.63,MS,1.16,4.7,3.4916
1711,318022259,1730.01,HIP34730,107.8664,48.3304,12.23,0.53,0.53,MS,,2.3,6.2222
1713,371234684,1731.01,HAT-P-9,110.1686,37.1407,12.344000000000001,1.19,1.3,MS,1.09,15.14,3.923
1714,470987100,1732.01,T001732,111.8015,53.0451,12.889000000000001,0.61,0.63,MS,1.05,2.54,4.1214
1716,224596152,1734.01,T001734,254.5029,57.3055,10.899000000000001,1.03,0.99,MS,1.02,2.46,28.8753
1717,365673804,1735.01,T001735,313.3387,64.2289,8.788,1.3,1.26,MS,,2.54,10.3857
1718,408618999,1736.01,T001736,43.435,69.1014,8.953,1.0,1.41,MS,0.94,2.74,7.0735
1721,159418353,1739.01,T001739,240.1774,83.2582,10.692,0.78,0.78,MS,1.19,2.02,8.3034
1722,174041208,1740.01,T001740,351.0176,43.3769,11.315,0.93,0.84,MS,,2.46,19.4284
1723,198206613,1741.01,T001741,247.0447,63.4986,11.794,0.68,0.61,MS,,1.29,10.9407
1724,219857012,1742.01,156141,257.3285,71.8764,8.863,1.02,1.16,MS,,2.37,21.2707
1726,229455001,1744.01,T001744,294.2911,60.8814,9.543,1.18,1.14,MS,,2.72,22.3412
1729,233071822,1747.01,T001747,270.8066,60.6756,11.546,0.69,0.7,MS,,1.32,2.7548
1733,237099296,1750.01,T001750,240.3014,68.9375,12.645,0.77,0.77,MS,,2.75,11.337
1734,287080092,1751.01,146757,243.4888,63.5343,9.327,1.15,1.27,MS,0.97,2.73,37.4683
1736,289580577,1753.01,T001753,252.4698,61.1735,11.831,1.01,0.96,MS,,2.38,5.3845
1738,356978132,1755.01,T001755,273.7816,56.8783,10.126,1.33,1.27,MS,1.05,14.04,60.187
1740,367753709,1757.01,T001757,255.4019,79.067,12.165999999999999,0.69,0.71,MS,0.98,1.72,2.1257
1741,367858035,1758.01,T001758,354.743,75.6851,10.794,0.88,0.81,MS,0.93,3.49,20.7051
1742,408636441,1759.01,T001759,326.8533,62.7539,11.93,0.61,0.63,MS,,3.28,18.8481
1744,424391516,1761.01,T001761,281.5774,75.3033,11.214,1.24,1.19,MS,,2.41,11.5925
1748,272672133,1765.01,T001765,234.2422,67.4525,12.478,0.88,0.9,MS,,5.92,3.4939
1749,67666096,1766.01,KELT-3,148.6433,40.388,9.816,1.34,1.61,MS,0.88,16.59,2.7034
1750,8767448,1767.01,WASP-13,140.103,33.8824,10.424000000000001,1.08,1.59,SG,0.88,16.09,4.3532
1751,137906197,1768.01,T001768,152.1029,55.5401,10.419,1.1,1.1,MS,1.0,3.08,7.3385
1754,252479260,1771.01,HAT-P-22,155.6816,50.1284,9.763,0.93,1.04,MS,0.95,12.46,3.2122
1755,85293053,1772.01,T001772,156.8379,34.391,9.955,0.99,1.0,MS,0.92,2.46,8.0515
1756,332064670,1773.01,75732,133.1492,28.3308,5.9510000000000005,0.9,0.96,MS,,1.8,0.7367
1757,4897275,1774.01,85426,148.1605,35.1117,8.25,1.06,1.09,MS,,2.74,16.71
1758,9348006,1775.01,T001775,150.1151,39.4578,11.648,0.9,0.84,MS,1.05,8.07,10.2404
1759,21535395,1776.01,95072,164.7761,40.9836,8.26,1.02,0.95,MS,,1.4,2.801
1760,29191624,1777.01,87620,151.807,46.115,9.31,1.06,0.98,MS,1.01,2.33,14.6532
1761,39699648,1778.01,77946,136.7781,46.6726,8.99,1.12,1.33,MS,1.09,2.83,6.516
1762,67646988,1779.01,LP261-75,147.7691,35.9693,15.436,0.28,0.31,MS,,9.93,1.8817
1763,99834717,1780.01,KPS-1,165.1674,64.964,12.97,0.82,0.9,MS,1.07,10.61,1.7063
1764,137881699,1781.01,HAT-P-66,150.5727,53.9509,13.014000000000001,1.15,1.95,SG,0.96,18.2,2.9721
1765,160045097,1782.01,T001782,213.08,74.4116,12.329,0.68,0.67,MS,0.95,2.56,4.9876
1772,450327768,1788.01,T001788,160.2295,35.9137,10.639000000000001,1.03,1.26,MS,1.06,10.42,5.3433
1775,233684293,1791.01,T001791,260.7631,63.1108,9.6,1.17,2.47,SG,1.08,4.43,48.4791
1778,286916251,1794.01,T001794,203.3977,49.0611,10.32,1.02,1.3,SG,0.96,3.03,8.7657
1780,138819293,1796.01,GJ436,175.5462,26.7066,10.67,0.42,0.43,MS,,3.76,2.644
1781,368435330,1797.01,93963,162.7771,25.6412,9.182,1.08,1.05,MS,0.97,3.21,3.6454
1782,198153540,1798.01,T001798,211.0941,46.5194,11.360999999999999,0.87,0.78,MS,,2.39,8.0189
1784,8967242,1799.01,96735,167.233,34.3032,8.98,1.01,0.96,MS,0.98,1.63,7.0939
1785,17993892,1800.01,HAT-P-21,171.2749,41.028,11.459000000000001,1.0,1.26,MS,1.07,12.65,4.1244
1786,119584412,1801.01,HIP57099,175.5766,23.0269,11.58,0.54,0.55,MS,,2.17,21.2844
1787,138762614,1802.01,T001802,164.255,24.8824,12.763,0.57,0.58,MS,,2.51,16.7961
1788,144401492,1803.01,T001803,178.0466,35.1718,11.870999999999999,0.79,0.69,MS,,4.03,12.8912
1791,165763244,1805.01,T001805,232.1401,55.1854,11.513,0.89,0.86,MS,0.84,3.12,24.0731
1793,180695581,1807.01,HIP65469,201.2833,38.9225,10.0,0.73,0.74,MS,1.05,1.53,0.5493
1794,307734817,1808.01,T001808,171.5971,28.0565,12.127,1.26,1.59,MS,,11.77,2.1075
1795,347329162,1809.01,WASP-56,183.3662,23.0557,12.091,1.04,1.11,MS,,12.04,4.6172
1796,373693175,1810.01,HAT-P-36,188.2663,44.9153,12.145999999999999,0.98,1.07,MS,,14.28,1.3274
1797,376524552,1811.01,T001811,188.9226,27.2144,11.966,0.76,0.81,MS,,11.9,3.713
1798,207425167,1812.01,T001812,242.7477,58.2946,12.431,0.84,0.74,MS,,7.04,
1806,330799746,1818.01,T001818,193.1311,34.9011,11.417,1.21,1.63,MS,1.1,9.87,5.5108
1808,393831507,1820.01,T001820,187.6865,27.4521,10.899000000000001,1.04,1.4,SG,,11.55,4.8607
1809,82308728,1821.01,97658,168.6382,25.7104,7.76,0.86,0.77,MS,,2.15,9.497
1810,9392421,1822.01,T001822,167.7778,39.5268,11.289000000000001,1.0,1.71,MS,1.02,14.37,9.614
1811,142381532,1823.01,TIC142381532,196.2204,63.7538,10.728,0.77,0.82,MS,1.08,8.14,38.8121
1812,142387023,1824.01,T001824,197.7312,61.7448,9.721,0.88,0.82,MS,0.99,2.4,22.8081
1814,229400092,1826.01,T001826,292.4586,62.5292,11.64,0.99,1.16,MS,,13.02,4.142
1815,390651552,1827.01,GJ486,191.9859,9.7514,11.39,0.31,0.33,MS,,1.33,1.4671
1816,232982938,1828.01,T001828,241.5624,69.6217,11.975,1.04,1.56,SG,0.92,8.47,9.0936
1818,20182165,1830.01,133725,226.1813,38.6052,7.507000000000001,1.25,1.21,MS,,16.72,9.7815
1821,61098812,1833.01,WASP-54,205.4543,-0.1281,10.413,1.15,1.78,SG,,17.19,3.6936
1822,71612483,1834.01,T001834,202.2947,31.4019,12.145,0.99,1.02,MS,1.37,19.87,1.2168
1823,347332255,1835.01,110067,189.8396,20.0278,8.419,0.91,0.78,MS,0.99,1.82,5.642
1825,207468071,1836.01,148193,245.9082,54.6898,9.765,1.26,1.62,SG,1.08,8.14,20.3823
1827,162689341,1838.01,WASP-92,246.6921,51.0411,12.950999999999999,1.12,1.26,MS,,14.34,2.1747
1828,381714186,1839.01,T001839,196.8332,5.8523,10.9,0.93,0.85,MS,0.98,2.47,1.4248
1829,165987272,1840.01,KELT-6,195.9819,30.6401,10.370999999999999,1.22,1.65,SG,1.12,13.94,7.845
1831,404505029,1842.01,T001842,201.9628,9.0307,9.815,1.15,2.05,SG,,12.68,19.1481
1833,198108326,1844.01,HAT-P-12,209.3894,43.4935,12.665,0.74,0.7,MS,,10.69,3.213
1836,54002556,1847.01,T001847,23.5214,-14.4192,12.456,0.85,0.83,MS,1.03,8.72,
1838,219824469,1848.01,T001848,204.4403,48.2501,11.048,1.08,1.62,SG,,6.18,5.481
1843,73540072,1853.01,T001853,211.4596,16.9924,12.177999999999999,0.82,0.84,MS,0.94,3.78,1.2436
1845,81247740,1855.01,T001855,205.3543,17.6872,11.197000000000001,0.92,1.08,MS,0.88,22.92,1.3642
1849,229742722,1859.01,T001859,279.8316,69.5229,10.33,1.29,1.4,MS,,10.61,63.4834
1850,202426247,1860.01,134319,226.4579,64.0472,8.4,1.01,0.93,MS,,1.42,1.0662
1852,321668398,1862.01,WASP-150,264.2631,53.0212,12.026,1.24,1.64,MS,1.02,11.73,5.6444
1854,229791084,1864.01,QATAR-10,284.444,69.5709,12.868,1.12,1.32,MS,0.94,18.13,1.6453
1861,233503636,1871.01,T001871,251.2356,77.344,12.095999999999998,1.17,1.67,MS,,8.6,3.4061
1877,258510872,1885.01,T001885,304.6652,66.156,12.693,1.2,1.76,MS,,15.39,6.5442
1882,288636599,1890.01,T001890,279.7444,79.2383,12.367,1.06,1.27,MS,,10.22,19.9679
1891,91987762,1898.01,83342,144.5556,23.5469,7.87,1.24,1.61,SG,0.99,7.16,
1898,429302040,1905.01,WASP-107,188.3869,-10.1461,11.592,0.66,0.72,MS,1.38,12.84,5.7223
1899,308098254,1906.01,WASP-162,168.2929,-17.6577,12.213,0.96,1.2,MS,1.07,12.46,9.6264
1901,37718056,1908.01,WASP-158,4.1463,-10.9764,12.044,1.21,1.53,SG,,12.8,3.6569
1905,50712784,1912.01,WASP-161,126.3378,-11.501,11.079,1.29,1.59,MS,,9.84,5.4054
1925,386259537,1932.01,WASP-169,127.3873,-12.9448,12.167,1.17,2.21,SG,1.07,17.2,5.6126
1928,176685457,1935.01,NGTS-9,141.9207,-19.3477,12.868,1.21,1.38,MS,,12.78,4.4353
1929,178289267,1936.01,HATS-57,60.9483,-19.0568,12.333,0.99,0.97,MS,,12.16,2.3507
1980,349088467,1987.01,T001987,185.3319,-14.0622,10.145,1.04,2.33,SG,,11.78,2.5867
2004,136916387,2011.01,136352,230.4508,-48.3176,5.65,1.03,1.03,MS,,1.83,
2005,138294130,2012.01,HAT-P-4,229.9913,36.2296,11.118,1.1,1.6,SG,,14.84,3.0565
2006,188589164,2013.01,GJ3929,239.5783,35.4067,12.675,0.31,0.33,MS,,1.1,2.6163
2009,219508169,2016.01,T002016,246.7975,42.6875,11.162,0.88,0.84,MS,,3.26,6.8175
2012,357501308,2018.01,HIP74981,229.8381,29.2062,10.25,0.66,0.62,MS,,2.61,7.4371
2013,159781361,2019.01,T002019,234.4317,48.9554,10.263,0.99,1.8,SG,,6.09,15.3475
2014,39903405,2020.01,HAT-P-2,245.1515,41.0481,8.72,1.29,1.7,MS,1.01,12.69,5.6334
2015,236312126,2021.01,XO-1,240.5494,28.1696,11.251,1.02,0.92,MS,,13.13,3.9414
2017,16884216,2023.01,T002023,232.8631,33.902,9.366,0.82,0.7,MS,,1.66,11.19
2018,255930614,2024.01,149026,247.6234,38.3473,8.15,1.14,1.46,MS,,7.97,2.8759
2019,394050135,2025.01,T002025,282.7952,82.2454,11.599,1.12,1.48,MS,0.86,12.28,8.872
2020,407059875,2026.01,T002026,5.47,66.1682,11.384,0.84,0.77,MS,0.95,2.27,7.1924
2021,335996558,2027.01,T002027,333.3319,62.8574,10.979000000000001,1.18,1.28,MS,1.49,3.55,1.4633
2033,237071229,2039.01,T002039,307.0229,61.8715,11.099,1.24,1.48,MS,,5.48,11.2489
2034,427730490,2040.01,T002040,352.2741,71.5064,11.489,0.83,0.92,MS,,11.11,3.8609
2035,54364414,2041.01,T002041,19.2341,62.3518,11.100999999999999,1.05,1.02,MS,0.99,3.01,1.3748
2039,347013211,2045.01,T002045,1.1191,54.9345,11.304,1.16,1.72,SG,1.11,12.97,9.0779
2040,468574941,2046.01,T002046,16.1848,74.3313,11.552,1.14,1.24,MS,1.12,18.35,1.4972
2051,229888286,2057.01,T002057,226.1164,28.2158,11.11,,1.84,SG,10.17,10.34,5.5976
2058,115524421,2064.01,WASP-148,254.1306,44.3026,12.036,0.95,0.94,MS,1.03,9.42,8.8051
2059,356710041,2065.01,111605,192.5772,26.1595,9.646,1.02,2.76,SG,,10.19,
2065,198360694,2071.01,T002071,256.6012,57.6611,11.540999999999999,1.06,1.0,MS,,2.73,5.6739
2069,23814735,2075.01,T002075,210.0445,38.7058,12.389000000000001,0.64,0.67,MS,,2.1,4.7983
2070,27491137,2076.01,T002076,217.3927,39.7904,9.139,0.87,0.77,MS,1.0,2.89,10.3558
2072,230075227,2077.01,T002077,244.377,68.8945,10.344000000000001,0.91,0.85,MS,,1.66,6.1156
2073,159244568,2078.01,T002078,227.1788,82.4472,12.026,0.9,0.8,MS,0.97,2.54,6.2772
2075,367739494,2080.01,T002080,250.3834,80.0456,12.345999999999998,0.79,0.72,MS,1.12,3.04,63.5863
2085,441765914,2088.01,T002088,261.3752,75.8823,11.638,0.8,0.83,MS,0.85,3.58,124.7252
2089,393965778,2092.01,T002092,212.5469,45.564,11.295,0.96,1.05,MS,0.89,3.19,4.303
2096,279982557,2097.01,T002097,297.3941,66.2939,12.390999999999998,0.9,0.79,MS,1.16,1.67,1.789
2099,219436394,2100.01,T002100,205.5944,76.648,11.432,0.97,0.85,MS,0.89,2.8,23.6575
2100,165527918,2101.01,T002101,266.1336,54.0911,11.21,0.99,1.0,MS,,2.36,9.0752
2101,289590465,2102.01,T002102,253.4429,65.2941,12.229000000000001,0.91,0.81,MS,0.77,2.29,6.7061
2102,160491359,2103.01,T002103,239.0181,73.0739,11.269,0.8,0.8,MS,1.04,1.21,2.6623
2103,367630162,2104.01,T002104,151.6154,83.0884,10.838,0.8,0.72,MS,1.02,1.37,3.2723
2105,156199502,2105.01,HIP58868,181.0739,83.4377,10.88,0.76,0.82,MS,,2.16,15.9152
2110,394029948,2110.01,T002110,282.229,78.5689,10.211,1.14,1.39,MS,0.9,3.21,32.7664
2114,9828416,2114.01,T002114,261.0964,33.2051,10.265,1.28,2.1,MS,1.13,13.87,6.2107
2118,17416749,2118.01,HIP79105,242.201,35.6913,9.11,1.28,2.13,SG,,4.26,2.3448
2123,105840719,2123.01,T002123,243.9411,17.024,10.237,0.95,0.84,MS,1.03,4.24,10.3162
2125,116242971,2125.01,WASP-86,267.6405,36.5702,10.585,1.26,2.16,MS,,16.48,5.0314
2126,116264089,2126.01,TRES-3,268.0292,37.5462,12.362,0.96,0.82,MS,,15.02,1.3062
2127,21744120,2127.01,HAT-P-18,256.3464,33.0125,12.597000000000001,0.77,0.74,MS,,10.73,5.5081
2128,21832928,2128.01,155060,256.9826,32.1055,7.221,1.1,1.13,MS,,2.05,16.3419
2130,320798691,2130.01,HAT-P-31,271.5377,26.4267,11.667,1.15,1.47,MS,,14.43,5.0055
2131,27848472,2131.01,WASP-3,278.6318,35.6615,10.632,1.26,1.36,MS,1.0,15.51,1.8469
2132,358516596,2132.01,KELT-8,283.3055,24.1274,10.845,1.02,1.39,MS,,16.8,3.244
2133,39200363,2133.01,T002133,261.2439,32.7981,12.008,0.65,0.72,MS,,2.9,3.8272
2134,75878355,2134.01,T002134,271.9352,39.0741,8.933,0.69,0.77,MS,,3.0,9.2293
2135,76419763,2135.01,HAT-P-5,274.4055,36.6214,11.954,1.05,1.13,MS,,13.86,2.7886
2137,23059280,2137.01,T002137,274.1439,34.1731,13.013,0.8,0.87,MS,,18.5,14.1503
2140,399860444,2140.01,TRES-2,286.8085,49.3164,11.254000000000001,1.06,1.02,MS,0.9,13.99,2.4706
2141,287256467,2141.01,T002141,258.7621,18.3408,9.46,1.01,0.94,MS,,3.61,18.2589
2144,428988981,2144.01,T002144,350.2514,79.4414,10.501,0.95,0.88,MS,1.0,2.31,37.3412
2145,88992642,2145.01,HIP86040,263.7581,40.6951,9.07,1.19,2.78,SG,1.04,12.41,10.2608
2147,341630071,2147.01,T002147,155.6423,83.0837,11.097999999999999,1.15,1.34,MS,0.98,10.53,26.2046
2151,23389848,2151.01,T002151,275.118,30.8558,10.753,1.0,1.95,SG,,16.11,15.6464
2155,461591646,2155.01,T002155,5.7993,84.4528,11.728,1.17,1.74,MS,0.97,10.88,3.7247
2159,270515566,2159.01,T002159,264.4541,47.2302,11.796,1.05,1.41,MS,,14.25,10.0514
2170,154741689,2170.01,T002170,164.3105,89.087,11.0,1.11,1.12,MS,0.94,2.67,9.2769
2174,159815224,2174.01,T002174,268.8242,40.1675,10.868,1.13,1.33,MS,,4.43,2.9604
2180,298663873,2180.01,238894,277.9437,56.6509,9.162,1.02,1.63,SG,1.01,8.77,
2181,233068569,2181.01,T002181,270.5582,63.5496,12.779000000000002,0.98,0.91,MS,,4.98,8.3839
2262,165530380,2262.01,T002262,266.4065,59.5142,10.977,1.25,1.28,MS,1.03,1.96,1.4938
2263,159400561,2263.01,T002263,237.9665,83.1105,10.349,0.99,0.85,MS,1.04,1.63,
2264,235943205,2264.01,T002264,295.9276,78.7259,11.075999999999999,1.16,0.96,MS,0.87,4.23,121.3377
2272,198178505,2270.01,147291,244.3812,61.3686,8.19,1.27,1.61,MS,1.04,2.76,
2274,265460043,2272.01,T002272,359.8527,68.3841,8.664,1.22,2.63,SG,0.99,5.15,32.8237
2275,142117976,2273.01,T002273,81.2394,79.7498,9.193,1.33,1.15,MS,1.04,2.26,46.5492
2276,289164482,2274.01,T002274,277.4594,40.541,11.995,0.61,0.63,MS,,2.05,2.6797
2277,272679240,2275.01,T002275,234.5131,69.0176,12.585,0.79,0.71,MS,,2.45,20.1559
2278,198456933,2276.01,238700,261.837,58.214,9.56,0.96,0.88,MS,1.02,1.78,153.7172
2281,115623434,2279.01,T002279,255.2457,45.3862,11.255999999999998,0.82,0.79,MS,1.02,2.29,3.1434
2286,115446313,2284.01,T002284,252.4719,47.3168,10.405999999999999,1.15,1.21,MS,1.07,2.57,4.9689
2289,160077104,2287.01,T002287,222.7565,85.8956,9.099,1.12,1.2,MS,1.04,1.95,11.8118
2291,82452140,2289.01,T002289,255.0975,39.7299,10.616,1.02,1.01,MS,1.05,2.8,63.3751
2292,321688498,2290.01,T002290,321.5997,68.6404,12.635,0.56,0.57,MS,1.07,1.49,0.3862
2294,236934268,2292.01,T002292,304.2665,65.1536,11.575999999999999,1.04,1.0,MS,,2.8,7.0771
2296,284361752,2294.01,T002294,288.1084,54.6405,10.221,1.29,1.28,MS,1.08,3.5,340.3847
2297,48018596,2295.01,T002295,281.5766,50.4924,9.595,1.0,1.47,SG,0.98,5.18,100.1148
2299,233500935,2297.01,T002297,250.7399,76.4492,12.5,0.79,0.79,MS,1.0,2.13,22.0529
2300,229608594,2298.01,T002298,274.5118,74.4668,12.302,0.66,0.66,MS,1.02,2.96,
2302,280031353,2300.01,T002300,297.416,68.8833,12.517999999999999,0.99,0.8,MS,1.03,2.71,4.8562
2304,283829553,2301.01,135677,228.5684,51.4687,8.86,1.18,1.61,SG,1.16,2.58,6.0541
2320,274599700,2317.01,T002317,255.3285,51.5293,12.411,1.0,1.44,SG,,11.63,
2321,88840705,2318.01,T002318,262.5892,40.3697,9.443,,0.84,MS,,6.51,
2323,207501148,2320.01,T002320,247.6575,56.3993,10.385,1.06,1.24,MS,1.73,9.41,
2350,301343785,2347.01,T002347,52.4876,-0.9042,12.114,1.12,1.93,SG,1.21,9.3,1.172
2354,290036495,2351.01,T002351,192.6617,-14.5651,12.83,1.02,1.27,MS,,19.28,5.2524
2362,436102447,2359.01,T002359,83.8187,6.5878,11.987,1.16,2.7,SG,,18.51,5.1858
2367,39414571,2364.01,T002364,89.13,-5.012,12.234000000000002,0.89,0.94,MS,,9.44,4.0183
2383,176220787,2380.01,224861,0.3257,-8.9263,9.974,1.13,2.39,SG,,17.67,5.2156
2389,32487566,2386.01,WASP-26,4.6029,-15.2673,11.297,1.12,1.28,MS,,13.8,2.7567
